# Shirakawa 4x8x130 S-pentacube tiling, canonical coords
# piece_no=x,y,z;x,y,z;x,y,z;x,y,z;x,y,z
298=1,4,46;1,5,46;2,4,46;3,4,45;3,4,46
299=0,6,45;0,6,46;1,6,45;2,6,45;2,7,45
300=1,6,46;1,7,46;2,6,46;3,6,45;3,6,46
301=0,6,47;0,7,45;0,7,46;0,7,47;1,7,45
302=0,0,46;0,0,47;0,1,47;0,2,47;1,2,47
303=2,0,46;2,0,47;2,1,47;2,2,47;3,2,47
304=0,2,48;0,3,46;0,3,47;0,3,48;1,3,46
305=0,5,46;0,5,47;1,5,47;2,4,47;2,5,47
306=1,0,47;1,0,48;1,0,49;1,1,47;2,0,49
307=1,3,47;1,3,48;2,3,47;3,3,47;3,4,47
308=2,3,48;3,3,48;3,4,48;3,5,47;3,5,48
309=1,6,47;1,7,47;2,7,47;3,7,47;3,7,48
310=2,6,47;3,6,47;3,6,48;3,6,49;3,7,49
311=0,0,48;0,0,49;0,0,50;0,1,48;1,0,50
312=2,0,48;3,0,48;3,0,49;3,0,50;3,1,50
313=1,1,48;1,1,49;2,1,48;3,1,48;3,2,48
314=1,1,50;1,2,48;1,2,49;1,2,50;2,2,48
315=0,4,48;0,4,49;1,4,48;2,4,48;2,5,48
316=0,4,50;0,5,48;0,5,49;0,5,50;1,5,48
317=0,6,48;0,7,48;1,7,48;2,7,48;2,7,49
318=1,5,50;1,6,48;1,6,49;1,6,50;2,6,48
319=0,1,49;0,1,50;0,1,51;0,2,49;1,1,51
320=2,1,49;2,2,49;2,3,49;2,3,50;3,1,49
321=2,3,51;3,2,49;3,3,49;3,3,50;3,3,51
322=0,3,49;1,3,49;1,3,50;1,3,51;1,4,51
323=1,4,49;1,5,49;2,5,49;3,5,49;3,5,50
324=2,4,49;3,4,49;3,4,50;3,4,51;3,5,51
325=0,6,49;0,6,50;0,6,51;0,7,49;1,6,51
326=1,4,50;2,4,50;2,5,50;2,6,49;2,6,50
327=1,7,49;1,7,50;2,7,50;3,6,50;3,7,50
328=2,0,50;2,0,51;2,0,52;2,1,50;3,0,52
329=0,2,50;0,2,51;1,2,51;2,1,51;2,2,51
330=2,2,50;3,2,50;3,2,51;3,2,52;3,3,52
331=0,3,50;0,3,51;0,4,51;0,5,51;1,5,51
332=0,7,50;0,7,51;1,7,51;2,6,51;2,7,51
333=0,0,51;1,0,51;1,0,52;1,0,53;1,1,53
334=2,1,53;3,0,51;3,1,51;3,1,52;3,1,53
335=1,5,53;2,4,51;2,5,51;2,5,52;2,5,53
336=2,7,53;3,6,51;3,7,51;3,7,52;3,7,53
337=0,0,52;0,0,53;0,0,54;0,1,52;1,0,54
338=1,1,52;1,2,52;1,3,52;1,3,53;2,1,52
339=0,2,52;0,2,53;0,3,53;0,4,53;1,4,53
340=1,3,54;2,2,52;2,3,52;2,3,53;2,3,54
341=0,3,52;0,4,52;1,4,52;2,4,52;2,4,53
342=2,5,54;3,4,52;3,5,52;3,5,53;3,5,54
343=0,4,54;0,5,52;0,5,53;0,5,54;1,5,52
344=0,6,52;0,6,53;1,6,52;2,6,52;2,7,52
345=1,6,53;1,7,53;2,6,53;3,6,52;3,6,53
346=0,6,54;0,7,52;0,7,53;0,7,54;1,7,52
347=2,0,53;3,0,53;3,0,54;3,0,55;3,1,55
348=0,1,53;0,1,54;1,1,54;2,0,54;2,1,54
349=1,1,55;1,2,53;1,2,54;1,2,55;2,2,53
350=2,3,55;3,2,53;3,3,53;3,3,54;3,3,55
351=1,4,54;1,5,54;2,4,54;3,4,53;3,4,54
352=2,2,56;3,1,54;3,2,54;3,2,55;3,2,56
353=0,2,54;0,2,55;0,2,56;0,3,54;1,2,56
354=1,0,55;2,0,55;2,1,55;2,2,54;2,2,55
355=1,6,54;1,7,54;2,7,54;3,7,54;3,7,55
356=2,6,54;3,6,54;3,6,55;3,6,56;3,7,56
357=0,0,55;0,0,56;0,0,57;0,1,55;1,0,57
358=0,3,55;0,4,55;0,5,55;0,5,56;1,3,55
359=1,4,55;1,5,55;2,5,55;3,5,55;3,5,56
360=2,4,55;3,4,55;3,4,56;3,4,57;3,5,57
361=0,6,55;0,6,56;1,6,55;2,6,55;2,7,55
362=0,6,57;0,7,55;0,7,56;0,7,57;1,7,55
363=1,0,56;1,1,56;2,1,56;3,1,56;3,1,57
364=2,0,56;3,0,56;3,0,57;3,0,58;3,1,58
365=0,1,56;0,1,57;1,1,57;2,0,57;2,1,57
366=0,3,56;0,3,57;1,3,56;2,3,56;2,4,56
367=1,3,57;1,4,57;2,3,57;3,3,56;3,3,57
368=0,3,58;0,4,56;0,4,57;0,4,58;1,4,56
369=1,5,56;1,6,56;1,7,56;1,7,57;2,5,56
370=1,7,58;2,6,56;2,7,56;2,7,57;2,7,58
371=0,1,59;0,2,57;0,2,58;0,2,59;1,2,57
372=2,2,57;3,2,57;3,2,58;3,2,59;3,3,59
373=1,6,57;2,4,57;2,4,58;2,5,57;2,6,57
374=0,4,59;0,5,57;0,5,58;0,5,59;1,5,57
375=2,7,59;3,6,57;3,7,57;3,7,58;3,7,59
376=0,0,58;0,1,58;1,1,58;2,1,58;2,1,59
377=1,0,58;2,0,58;2,0,59;2,0,60;2,1,60
378=0,0,59;1,0,59;1,1,59;1,2,58;1,2,59
379=2,2,58;2,2,59;2,3,59;2,4,59;3,4,59
380=1,3,58;1,3,59;2,3,58;3,3,58;3,4,58
381=1,4,58;1,4,59;1,5,59;1,6,59;2,6,59
382=1,5,58;1,6,58;2,6,58;3,6,58;3,6,59
383=2,5,58;3,5,58;3,5,59;3,5,60;3,6,60
384=0,6,58;0,6,59;0,6,60;0,7,58;1,6,60
385=2,1,61;3,0,59;3,1,59;3,1,60;3,1,61
386=0,3,59;0,3,60;0,4,60;0,5,60;1,5,60
387=2,5,59;2,5,60;2,6,60;2,7,60;3,7,60
388=0,6,61;0,7,59;0,7,60;0,7,61;1,7,59
389=0,0,60;0,1,60;0,2,60;0,2,61;1,0,60
390=1,0,61;1,1,61;2,0,61;3,0,60;3,0,61
391=0,2,62;1,1,60;1,2,60;1,2,61;1,2,62
392=2,2,60;2,2,61;2,2,62;2,3,60;3,2,62
393=2,4,60;3,2,60;3,2,61;3,3,60;3,4,60
394=0,4,62;1,3,60;1,4,60;1,4,61;1,4,62
395=1,7,60;1,7,61;2,7,61;3,6,61;3,7,61
396=0,0,61;0,0,62;0,0,63;0,1,61;1,0,63
397=0,3,61;0,3,62;0,3,63;0,4,61;1,3,63
398=1,3,61;1,3,62;2,3,61;3,3,61;3,4,61
399=1,6,61;2,4,61;2,4,62;2,5,61;2,6,61
400=0,4,63;0,5,61;0,5,62;0,5,63;1,5,61
401=1,5,62;1,6,62;2,5,62;3,5,61;3,5,62
402=1,0,62;1,1,62;2,1,62;3,1,62;3,1,63
403=2,0,62;3,0,62;3,0,63;3,0,64;3,1,64
404=0,1,62;0,1,63;1,1,63;2,0,63;2,1,63
405=2,2,64;2,3,62;2,3,63;2,3,64;3,3,62
406=2,2,63;3,2,63;3,3,63;3,4,62;3,4,63
407=0,6,62;0,7,62;1,7,62;2,7,62;2,7,63
408=2,5,64;2,6,62;2,6,63;2,6,64;3,6,62
409=2,5,63;3,5,63;3,6,63;3,7,62;3,7,63
410=0,2,63;1,2,63;1,2,64;1,2,65;1,3,65
411=1,4,63;1,5,63;1,6,63;1,6,64;2,4,63
412=0,6,63;0,6,64;0,6,65;0,7,63;1,6,65
413=1,7,63;1,7,64;2,7,64;3,6,64;3,7,64
414=0,0,64;0,0,65;1,0,64;2,0,64;2,1,64
415=0,0,66;0,1,64;0,1,65;0,1,66;1,1,64
416=0,2,64;0,2,65;0,3,65;0,4,65;1,4,65
417=2,4,64;3,2,64;3,2,65;3,3,64;3,4,64
418=0,3,64;0,4,64;0,5,64;0,5,65;1,3,64
419=0,5,66;1,4,64;1,5,64;1,5,65;1,5,66
420=2,3,65;3,3,65;3,4,65;3,5,64;3,5,65
